ACCESSION,CLASS,MGE NAME,ORGANISMS
ICEberg|52|ICEPaeLESB58-1|GenBank|FM209186|2796710..2907811,ICE,ICEPaeLESB58-1,Pseudomonas aeruginosa LESB58
ICEberg|53|ICEHaeULPAs1-1|GenBank|CU207211|1978021..2066138,ICE,ICEHaeULPAs1-1,Herminiimonas arsenicoxydans
ICEberg|54|ICETauDSM9187-1|GenBank|CP001616|2621845..2718871,ICE,ICETauDSM9187-1,Tolumonas auensis DSM 9187
ICEberg|55|ICEAciJS42-1|GenBank|CP000539|1287924..1407821,ICE,ICEAciJS42-1,Acidovorax sp. JS42
ICEberg|56|ICEclc(B13)|GenBank|AJ617740|60..102843,ICE,ICEclc(B13),Pseudomonas putida
ICEberg|58|ICEBfrYCH46-1|GenBank|AP006841|114653..163822,ICE,ICEBfrYCH46-1,Bacteroides fragilis YCH46
ICEberg|60|ICEHin1056|GenBank|AJ627386|1..59393,ICE,ICEHin1056,Haemophilus influenzae
ICEberg|61|ICEHin86-1|GenBank|CP000057|92259..148366,ICE,ICEHin86-1,Haemophilus influenzae 86-028NP
ICEberg|62|CTn6002|GenBank|AY898750|1..20880,ICE,CTn6002,Streptococcus cristatus
ICEberg|64|CTnBST|GenBank|AY345595|1..100903,ICE,CTnBST,Bacteroides uniformis
ICEberg|66|CTnscr94|GenBank|FN298496|11966..126312,ICE,CTnscr94,Salmonella enterica subsp. enterica serovar Senftenberg
ICEberg|67|Tn6000(EfcTn1)|GenBank|FN555436|1..33262,ICE,Tn6000(EfcTn1),Enterococcus casseliflavus
ICEberg|70|ICEEc1|GenBank|AY233333|1..38927,ICE,ICEEc1,Escherichia coli
ICEberg|71|ICEEc2|GenBank|GU725392|77..93971,ICE,ICEEc2,Escherichia coli
ICEberg|74|ICEEcIHE3034-1|GenBank|AM229678|292..54752,ICE,ICEEcIHE3034-1,Escherichia coli
ICEberg|76|ICESde3396|GenBank|EU142041|1..63668,ICE,ICESde3396,Streptococcus dysgalactiae subsp. equisimilis
ICEberg|77|ICESe2|GenBank|FM204883|1206317..1269371,ICE,ICESe2,Streptococcus equi subsp. equi 4047
ICEberg|78|ICESt1|GenBank|AJ278471|1290..36049,ICE,ICESt1,Streptococcus thermophilus
ICEberg|79|ICESt3|GenBank|AJ586568|204..28293,ICE,ICESt3,Streptococcus thermophilus
ICEberg|80|ICESpn8140|GenBank|FR671412|1..26888,ICE,ICESpn8140,Streptococcus pneumoniae
ICEberg|81|ICESpnMalM6|GenBank|FR671413|1..23032,ICE,ICESpnMalM6,Streptococcus pneumoniae
ICEberg|82|ICESpnH034800032|GenBank|FR671414|1..20370,ICE,ICESpnH034800032,Streptococcus pneumoniae
ICEberg|83|ICESpn23771|GenBank|FR671415|1..25880,ICE,ICESpn23771,Streptococcus pneumoniae
ICEberg|84|ICESpn11930|GenBank|FR671403|1..73716,ICE,ICESpn11930,Streptococcus pneumoniae
ICEberg|85|ICESpn11930-2|GenBank|FR671416|1..25645,ICE,ICESpn11930-2,Streptococcus pneumoniae
ICEberg|86|ICESpn11928|GenBank|FR671417|1..22793,ICE,ICESpn11928,Streptococcus pneumoniae
ICEberg|87|ICESpn9409|GenBank|FR671418|1..22765,ICE,ICESpn9409,Streptococcus pneumoniae
ICEberg|88|ICESpn11876|GenBank|FR671404|1..71516,ICE,ICESpn11876,Streptococcus pneumoniae
ICEberg|92|Tn1549|GenBank|AF192329|1..33805,ICE,Tn1549,Enterococcus faecalis
ICEberg|102|Tn5386|GenBank|DQ321786|67..29238,ICE,Tn5386,Enterococcus faecium
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,ICE,Tn5397,Clostridioides difficile 630
ICEberg|113|ICESb1|GenBank|FN298494|1785..111202,ICE,ICESb1,Salmonella bongori
ICEberg|114|ICESb2|GenBank|FN669609|564..84432,ICE,ICESb2,Salmonella bongori
ICEberg|115|ICESe3|GenBank|FN298495|28577..133063,ICE,ICESe3,Salmonella enterica subsp. VII
ICEberg|118|pSA1|GenBank|NC_002112|1..9014,ICE,pSA1,Streptomyces cyaneus
ICEberg|122|pMEA100|GenBank|EU149765|1..23290,ICE,pMEA100,Amycolatopsis mediterranei
ICEberg|123|pMEA300|GenBank|L36679|1..13285,ICE,pMEA300,Amycolatopsis methanolica 239
ICEberg|126|ICEKp1|GenBank|AP006725|3395836..3471770,ICE,ICEKp1,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044
ICEberg|127|ICEKpn342-1|GenBank|CP000964|1810666..1880895,ICE,ICEKpn342-1,Klebsiella variicola
ICEberg|129|ICEEcoED1a-1|GenBank|CU928162|2164157..2222338,ICE,ICEEcoED1a-1,Escherichia coli ED1a
ICEberg|130|ICECkoBAA-1|GenBank|CP000822|816173..919555,ICE,ICECkoBAA-1,Citrobacter koseri ATCC BAA-895
ICEberg|131|ICEDzeEch1591-1|GenBank|CP001655|1679168..1733032,ICE,ICEDzeEch1591-1,Dickeya chrysanthemi Ech1591
ICEberg|132|ICEEcoUMN026-1|GenBank|CU928163|2277431..2343162,ICE,ICEEcoUMN026-1,Escherichia coli UMN026
ICEberg|133|ICEMloMAF-1|GenBank|BA000012|4643427..5255769,ICE,ICEMloMAF-1,Mesorhizobium japonicum MAFF 303099
ICEberg|152|CTn9343|GenBank|CR626927|1727162..1804281,ICE,CTn9343,Bacteroides fragilis NCTC 9343
ICEberg|157|pSE211|GenBank|AM420293|7823295..7840549,ICE,pSE211,Saccharopolyspora erythraea NRRL 2338
ICEberg|160|TnGBS1|GenBank|NC_004368|385757..432824,ICE,TnGBS1,Streptococcus agalactiae NEM316
ICEberg|162|pNEM316-1(islandVIII)|GenBank|NC_004368|1013025..1060094,ICE,pNEM316-1(islandVIII),Streptococcus agalactiae NEM316
ICEberg|163|SLP1|GenBank|NC_003888|5038594..5055797,ICE,SLP1,Streptomyces coelicolor A3(2)
ICEberg|165|ICE6094|GenBank|FR670347|1..61030,ICE,ICE6094,Streptococcus pneumoniae
ICEberg|166|ICE-KKS|GenBank|AB546270|1..61807,ICE,ICE-KKS,Acidovorax sp. KKS102
ICEberg|172|Tn1207.3|GenBank|AY657002|1..52491,ICE,Tn1207.3,Streptococcus phage phi1207.3
ICEberg|173|pKLC102|GenBank|AY257538|1..103532,ICE,pKLC102,Pseudomonas aeruginosa
ICEberg|174|PAGI-2|GenBank|AF440523|27286..132240,ICE,PAGI-2,Pseudomonas aeruginosa
ICEberg|175|PAPI-1|GenBank|CP000438|5251440..5359392,ICE,PAPI-1,Pseudomonas aeruginosa UCBPP-PA14
ICEberg|176|PAGI-5|GenBank|EF611301|1..99276,ICE,PAGI-5,Pseudomonas aeruginosa
ICEberg|178|ICEPaeC3719-1|GenBank|NW_001999377|5416255..5494550,ICE,ICEPaeC3719-1,Pseudomonas aeruginosa C3719
ICEberg|179|ICEPaePACS2-1|GenBank|AAQW01000001|896159..1003026,ICE,ICEPaePACS2-1,Pseudomonas aeruginosa PACS2
ICEberg|181|10750-RD.2|GenBank|CP000262|1621728..1670248,ICE,10750-RD.2,Streptococcus pyogenes MGAS10750
ICEberg|183|2096-RD.2|GenBank|CP000261|1057904..1120305,ICE,2096-RD.2,Streptococcus pyogenes MGAS2096
ICEberg|184|2096-RD.1|GenBank|CP000261|841628..856896,ICE,2096-RD.1,Streptococcus pyogenes MGAS2096
ICEberg|185|9429-RD.1|GenBank|CP000259|880857..895709,ICE,9429-RD.1,Streptococcus pyogenes MGAS9429
ICEberg|187|6180-RD.2|GenBank|CP000056|1284967..1322395,ICE,6180-RD.2,Streptococcus pyogenes MGAS6180
ICEberg|188|370-RD.1|GenBank|AE004092|884024..893806,ICE,370-RD.1,Streptococcus pyogenes M1 GAS
ICEberg|189|5005-RD.1|GenBank|CP000017|802286..812201,ICE,5005-RD.1,Streptococcus pyogenes MGAS5005
ICEberg|190|10270-RD.1|GenBank|CP000260|871808..887174,ICE,10270-RD.1,Streptococcus pyogenes MGAS10270
ICEberg|192|ICE(Tn4371)6033|GenBank|CP001068|2715199..2769318,ICE,ICE(Tn4371)6033,Ralstonia pickettii 12J
ICEberg|194|ICE(Tn4371)6035|GenBank|NZ_AAOA01000008|133371..184030,ICE,ICE(Tn4371)6035,Congregibacter litoralis KT71
ICEberg|195|ICE(Tn4371)6036|GenBank|CP000512|730667..790510,ICE,ICE(Tn4371)6036,Acidovorax citrulli AAC00-1
ICEberg|196|ICE(Tn4371)6037|GenBank|CP000884|2958779..3016679,ICE,ICE(Tn4371)6037,Delftia acidovorans SPH-1
ICEberg|197|ICE(Tn4371)6038|GenBank|AAUJ02000001|3228493..3280947,ICE,ICE(Tn4371)6038,Comamonas testosteroni KF-1
ICEberg|198|ICE(Tn4371)6039|GenBank|CP000539|3075815..3129303,ICE,ICE(Tn4371)6039,Acidovorax sp. JS42
ICEberg|199|ICE(Tn4371)6040|GenBank|AM902716|2250540..2297731,ICE,ICE(Tn4371)6040,Bordetella petrii
ICEberg|200|ICE(Tn4371)6041|GenBank|NZ_AAKW01000024|1554..50091,ICE,ICE(Tn4371)6041,Pseudomonas aeruginosa 2192
ICEberg|201|ICE(Tn4371)6042|GenBank|CP000744|3829571..3884857,ICE,ICE(Tn4371)6042,Pseudomonas aeruginosa PA7
ICEberg|202|ICE(Tn4371)6066|GenBank|CP001392|3746937..3795957,ICE,ICE(Tn4371)6066,[Acidovorax] ebreus TPSY
ICEberg|203|ICE(Tn4371)6067|GenBank|CP000884|2949925..3016679,ICE,ICE(Tn4371)6067,Delftia acidovorans SPH-1
ICEberg|204|ICE(Tn4371)6068|GenBank|AM743169|1324222..1367730,ICE,ICE(Tn4371)6068,Stenotrophomonas maltophilia K279a
ICEberg|205|ICE(Tn4371)6070|GenBank|EU595746|1853..44008,ICE,ICE(Tn4371)6070,Pseudomonas aeruginosa
ICEberg|206|AICEFraal5456|GenBank|CT573213|5891518..5904762,ICE,AICEFraal5456,Frankia alni ACN14a
ICEberg|209|AICEMflv3036|GenBank|CP000656|3199938..3217693,ICE,AICEMflv3036,Mycolicibacterium gilvum PYR-GCK
ICEberg|211|AICESare1922|GenBank|CP000850|2218415..2232534,ICE,AICESare1922,Salinispora arenicola CNS-205
ICEberg|212|AICESav3708|GenBank|BA000030|4589836..4613219,ICE,AICESav3708,Streptomyces avermitilis MA-4680 = NBRC 14893
ICEberg|213|AICESav3728|GenBank|BA000030|4614801..4636144,ICE,AICESav3728,Streptomyces avermitilis MA-4680 = NBRC 14893
ICEberg|216|AICEStrop0058|GenBank|CP000667|67688..81948,ICE,AICEStrop0058,Salinispora tropica CNB-440
ICEberg|218|ICEAxyA8-1|GenBank|CP002287|1127770..1210913,ICE,ICEAxyA8-1,Achromobacter xylosoxidans A8
ICEberg|219|ICE-GI1|GenBank|AM902716|1083989..1339502,ICE,ICE-GI1,Bordetella petrii
ICEberg|220|ICE-GI2|GenBank|AM902716|1350129..1493558,ICE,ICE-GI2,Bordetella petrii
ICEberg|221|ICE-GI3|GenBank|AM902716|1493541..1595651,ICE,ICE-GI3,Bordetella petrii
ICEberg|222|ICE-GI6|GenBank|AM902716|4417743..4576839,ICE,ICE-GI6,Bordetella petrii
ICEberg|224|Tn5801|GenBank|BA000017|436064..461681,ICE,Tn5801,Staphylococcus aureus subsp. aureus Mu50
ICEberg|230|ICESp23FST81|GenBank|FM211187|1207785..1288800,ICE,ICESp23FST81,Streptococcus pneumoniae ATCC 700669
ICEberg|231|Sp23F_PPI-1|GenBank|FM211187|922465..951058,ICE,Sp23F_PPI-1,Streptococcus pneumoniae ATCC 700669
ICEberg|232|ICESsu(BM407)1|GenBank|FM252032|504649..580365,ICE,ICESsu(BM407)1,Streptococcus suis BM407
ICEberg|233|ICESsu(BM407)2|GenBank|FM252032|1005794..1086113,ICE,ICESsu(BM407)2,Streptococcus suis BM407
ICEberg|234|ICESsu(SC84)|GenBank|FM252031|872762..961926,ICE,ICESsu(SC84),Streptococcus suis SC84
ICEberg|235|PFGI-1|GenBank|CP000076|5378468..5493586,ICE,PFGI-1,Pseudomonas protegens Pf-5
ICEberg|237|AICESare1208|GenBank|CP000850|1357773..1375276,ICE,AICESare1208,Salinispora arenicola CNS-205
ICEberg|238|AICESco3937|GenBank|AL645882|4324441..4333647,ICE,AICESco3937,Streptomyces coelicolor A3(2
ICEberg|239|AICESco3997|GenBank|AL645882|4382898..4392000,ICE,AICESco3997,Streptomyces coelicolor A3(2
ICEberg|288|SPI-7|GenBank|AL513382|4409574..4543073,ICE,SPI-7,Salmonella enterica subsp. enterica serovar Typhi str. CT18
ICEberg|289|ICELm1|GenBank|AL591824|1131501..1149734,ICE,ICELm1,Listeria monocytogenes EGD-e
ICEberg|303|Tn916(pAM120)|GenBank|U49939|1344..19375,ICE,Tn916(pAM120),Cloning vector pAM120
ICEberg|304|ICESga43143-1|GenBank|AP012053|1643376..1661407,ICE,ICESga43143-1,Streptococcus gallolyticus subsp. gallolyticus ATCC 43143
ICEberg|305|ICESauST398-1|GenBank|AM990992|997771..1015802,ICE,ICESauST398-1,Staphylococcus aureus subsp. aureus ST398
ICEberg|306|Tn925|GenBank|AY855841|40068..58099,ICE,Tn925,Enterococcus faecalis
ICEberg|307|Tn916(RST11)|GenBank|FN550102|1..18032,ICE,Tn916(RST11),Staphylococcus rostri
ICEberg|308|ICESpaNUF1049|GenBank|AB468159|3016..21046,ICE,ICESpaNUF1049,Streptococcus parauberis
ICEberg|309|ICESag2603VR-1|GenBank|AE009948|923465..941495,ICE,ICESag2603VR-1,Streptococcus agalactiae 2603V/R
ICEberg|310|ICESpsHKU1003-1|GenBank|CP002439|2195642..2213672,ICE,ICESpsHKU1003-1,Staphylococcus pseudintermedius HKU10-03
ICEberg|311|ICESsu05ZYH33-1|GenBank|CP000407|888251..906281,ICE,ICESsu05ZYH33-1,Streptococcus suis 05ZYH33
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,ICE,ICECloUPII95-1,Mageeibacillus indolicus UPII9-5
ICEberg|313|ICESsu98HAH33-1|GenBank|CP000408|887958..905988,ICE,ICESsu98HAH33-1,Streptococcus suis 98HAH33
ICEberg|314|ICECdiM68-1|GenBank|FN668375|334783..353473,ICE,ICECdiM68-1,Clostridioides difficile M68
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,ICE,ICESorUo5-1,Streptococcus oralis Uo5
ICEberg|316|ICESpnCGSP14-1|GenBank|CP001033|159595..182718,ICE,ICESpnCGSP14-1,Streptococcus pneumoniae CGSP14
ICEberg|317|Tn2008|GenBank|CP001033|1259712..1327343,ICE,Tn2008,Streptococcus pneumoniae CGSP14
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,ICE,Tn6085b,Enterococcus faecium C68
ICEberg|319|Tn6085a|GenBank|HM243621|6653..27441,ICE,Tn6085a,Enterococcus faecium C68
ICEberg|320|ICESpnTw19F14-1|GenBank|CP000921|1785161..1808701,ICE,ICESpnTw19F14-1,Streptococcus pneumoniae Taiwan19F-14
ICEberg|321|Tn6003|GenBank|AM410044|1..25101,ICE,Tn6003,Streptococcus pneumoniae
ICEberg|322|ICESgal1|GenBank|FN597254|1738037..1787519,ICE,ICESgal1,Streptococcus gallolyticus UCN34
ICEberg|323|ICECdiM120-1|GenBank|FN665653|2171649..2189550,ICE,ICECdiM120-1,Clostridioides difficile M120
ICEberg|324|ICESpnTCH8341-1|GenBank|CP001993|2004999..2031388,ICE,ICESpnTCH8341-1,Streptococcus pneumoniae TCH8431/19A
ICEberg|325|Tn2010|GenBank|AB426620|1..26390,ICE,Tn2010,Streptococcus pneumoniae
ICEberg|326|Tn6087|GenBank|HQ663849|1..21169,ICE,Tn6087,Streptococcus oralis
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,ICE,ICEFal35896-1,Filifactor alocis ATCC 35896
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,ICE,Tn6084,Enterococcus faecium C68
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,ICE,Tn6079,uncultured bacterium MID12
ICEberg|331|ICESpnH19A6-1|GenBank|CP000936|1302035..1322918,ICE,ICESpnH19A6-1,Streptococcus pneumoniae Hungary19A-6
ICEberg|332|ICE(Tn4371)6069|GenBank|CP000438|2678435..2721213,ICE,ICE(Tn4371)6069,Pseudomonas aeruginosa UCBPP-PA14
ICEberg|333|ICE(Tn4371)6071|GenBank|CP001339|1988584..2031125,ICE,ICE(Tn4371)6071,Thioalkalivibrio sulfidiphilus HL-EbGr7
ICEberg|334|ICEAdeK601-1|GenBank|CP002657|1657600..1709335,ICE,ICEAdeK601-1,Alicycliphilus denitrificans K601
ICEberg|335|ICERsoGMI1000-1|GenBank|AL646052|2780064..2825985,ICE,ICERsoGMI1000-1,Ralstonia pseudosolanacearum GMI1000
ICEberg|336|ICEAviDJ-1|GenBank|CP001157|3632448..3681100,ICE,ICEAviDJ-1,Azotobacter vinelandii DJ
ICEberg|337|CMGI-2|GenBank|CP000352|1359263..1460900,ICE,CMGI-2,Cupriavidus metallidurans CH34
ICEberg|338|CMGI-3|GenBank|CP000352|1585489..1682531,ICE,CMGI-3,Cupriavidus metallidurans CH34
ICEberg|339|ICE(Tn4371)6064|GenBank|CP001408|896551..945569,ICE,ICE(Tn4371)6064,Burkholderia pseudomallei MSHR346
ICEberg|340|ICE(Tn4371)6065|GenBank|CP000530|12802..81711,ICE,ICE(Tn4371)6065,Polaromonas naphthalenivorans CJ2
ICEberg|341|ICEAdeBC-1|GenBank|CP002449|233693..280043,ICE,ICEAdeBC-1,Alicycliphilus denitrificans BC
ICEberg|342|ICEBglBSR3-1|GenBank|CP002599|2871875..2914547,ICE,ICEBglBSR3-1,Burkholderia gladioli BSR3
ICEberg|343|ICEBmu17616-1|GenBank|AP009385|955215..1030340,ICE,ICEBmu17616-1,Burkholderia multivorans ATCC 17616
ICEberg|344|ICEBsa18170-1|GenBank|CP002530|2939772..2990351,ICE,ICEBsa18170-1,Phocaeicola salanitronis DSM 18170
ICEberg|345|ICEBxyXB1A-1|GenBank|FP929033|4227232..4279471,ICE,ICEBxyXB1A-1,Bacteroides xylanisolvens XB1A
ICEberg|346|ICEHinB|GenBank|FQ312006|87548..143543,ICE,ICEHinB,Haemophilus influenzae 10810
ICEberg|347|ICEhinR2866|GenBank|CP002277|555283..608328,ICE,ICEhinR2866,Haemophilus influenzae R2866
ICEberg|348|ICEHin299|GenBank|AM884334|1..53902,ICE,ICEHin299,Haemophilus influenzae
ICEberg|349|ICEHpa8f|GenBank|AM884335|1..52725,ICE,ICEHpa8f,Haemophilus influenzae
ICEberg|350|ICEHpaT3T1|GenBank|FQ312002|1153089..1213144,ICE,ICEHpaT3T1,Haemophilus parainfluenzae T3T1
ICEberg|360|ICESenTy2-1|GenBank|AE014613|4394224..4525975,ICE,ICESenTy2-1,Salmonella enterica subsp. enterica serovar Typhi str. Ty2
ICEberg|361|ICESpa15912-1|GenBank|CP002843|1960240..1989074,ICE,ICESpa15912-1,Streptococcus parasanguinis ATCC 15912
ICEberg|364|Tn5253|GenBank|EU351020|833..65360,ICE,Tn5253,Streptococcus pneumoniae
ICEberg|372|ICESpnP1031-1|GenBank|CP000920|1064292..1117331,ICE,ICESpnP1031-1,Streptococcus pneumoniae P1031
ICEberg|373|ICESpn6706B-1|GenBank|CP002176|1039483..1120356,ICE,ICESpn6706B-1,Streptococcus pneumoniae 670-6B
ICEberg|374|HPI-ICEEh1|GenBank|FN297818|42411..108644,ICE,HPI-ICEEh1,Enterobacter hormaechei
ICEberg|376|ICEEfaV583-1|GenBank|AE016830|2204066..2258320,ICE,ICEEfaV583-1,Enterococcus faecalis V583
ICEberg|377|ICESa2603|GenBank|AE009948|1256680..1311028,ICE,ICESa2603,Streptococcus agalactiae 2603V/R
ICEberg|378|ICESdy12394-1|GenBank|CP002215|886112..936679,ICE,ICESdy12394-1,Streptococcus dysgalactiae subsp. equisimilis ATCC 12394
ICEberg|379|ICESthJIM8232-1|GenBank|FR875178|527211..577719,ICE,ICESthJIM8232-1,Streptococcus thermophilus JIM 8232
ICEberg|380|ICESpa43144-1|GenBank|AP012054|1138667..1197142,ICE,ICESpa43144-1,Streptococcus pasteurianus ATCC 43144
ICEberg|384|ICEPaePA14-1|GenBank|CP000438|1300805..1327539,ICE,ICEPaePA14-1,Pseudomonas aeruginosa UCBPP-PA14
ICEberg|386|CTnPg1-a|GenBank|AP009380|57961..103060,ICE,CTnPg1-a,Porphyromonas gingivalis ATCC 33277
ICEberg|387|CTnPg1-b|GenBank|AP009380|1429021..1439368,ICE,CTnPg1-b,Porphyromonas gingivalis ATCC 33277
ICEberg|388|CTnPg2|GenBank|AP009380|627916..655108,ICE,CTnPg2,Porphyromonas gingivalis ATCC 33277
ICEberg|390|ICEBvu8482-1|GenBank|CP000139|899681..976456,ICE,ICEBvu8482-1,Phocaeicola vulgatus ATCC 8482
ICEberg|391|ICEBvu8482-2|GenBank|CP000139|1962094..2051867,ICE,ICEBvu8482-2,Phocaeicola vulgatus ATCC 8482
ICEberg|398|CTn1|GenBank|AM180355|428851..453332,ICE,CTn1,Clostridioides difficile 630
ICEberg|399|CTn2|GenBank|AM180355|480597..520127,ICE,CTn2,Clostridioides difficile 630
ICEberg|400|CTn4|GenBank|AM180355|1284507..1314481,ICE,CTn4,Clostridioides difficile 630
ICEberg|401|CTn5|GenBank|AM180355|2137789..2181291,ICE,CTn5,Clostridioides difficile 630
ICEberg|402|CTn6|GenBank|AM180355|3890925..3910292,ICE,CTn6,Clostridioides difficile 630
ICEberg|403|CTn7|GenBank|AM180355|3938102..3963961,ICE,CTn7,Clostridioides difficile 630
ICEberg|405|YAPI(ye)|GenBank|AM286415|3761945..3828088,ICE,YAPI(ye),Yersinia enterocolitica subsp. enterocolitica 8081
ICEberg|406|YAPI|GenBank|AJ627388|1402..99513,ICE,YAPI,Yersinia pseudotuberculosis
ICEberg|407|YAPI(IP32777)|GenBank|CP000720|4157207..4221900,ICE,YAPI(IP32777),Yersinia pseudotuberculosis IP 31758
ICEberg|408|ICESpy10394-1|GenBank|CP000003|1119537..1172028,ICE,ICESpy10394-1,Streptococcus pyogenes MGAS10394
ICEberg|409|ICESp1108|GenBank|FR691054|1694..47149,ICE,ICESp1108,Streptococcus pyogenes
ICEberg|410|ICEFma29328-1|GenBank|AP008971|1002528..1069524,ICE,ICEFma29328-1,Finegoldia magna ATCC 29328
ICEberg|411|ICEAurCol10a-1|GenBank|CP002512|140074..194217,ICE,ICEAurCol10a-1,Aerococcus urinae ACS-120-V-Col10a
ICEberg|412|Tn1806|GenBank|CP002121|818751..870207,ICE,Tn1806,Streptococcus pneumoniae AP200
ICEberg|423|6180-RD.0|GenBank|CP000056|799411..814679,ICE,6180-RD.0,Streptococcus pyogenes MGAS6180
ICEberg|424|ICESauMu3-1|GenBank|AP009324|436067..461685,ICE,ICESauMu3-1,Staphylococcus aureus subsp. aureus Mu3
ICEberg|425|ICESpsED99-1|GenBank|CP002478|2485813..2511432,ICE,ICESpsED99-1,Staphylococcus pseudintermedius ED99
ICEberg|426|Tn5801(B6)|GenBank|FN568063|1320241..1344513,ICE,Tn5801(B6),Streptococcus mitis B6
ICEberg|427|Tn6086|GenBank|HM636636|1..24468,ICE,Tn6086,Enterococcus faecium
ICEberg|428|ICESauJKD6008-2|GenBank|CP002120|426893..454906,ICE,ICESauJKD6008-2,Staphylococcus aureus subsp. aureus str. JKD6008
ICEberg|429|ICESauT0131-2|GenBank|CP002643|423231..451243,ICE,ICESauT0131-2,Staphylococcus aureus subsp. aureus T0131
ICEberg|430|ICESauTW20-2|GenBank|FN433596|486800..518088,ICE,ICESauTW20-2,Staphylococcus aureus subsp. aureus TW20
ICEberg|431|ICESpnJJA-1|GenBank|CP000919|925236..953836,ICE,ICESpnJJA-1,Streptococcus pneumoniae JJA
ICEberg|432|ICESpnD39-1|GenBank|CP000410|926620..963005,ICE,ICESpnD39-1,Streptococcus pneumoniae D39
ICEberg|433|ICESpnR6-1|GenBank|AE007317|919089..955474,ICE,ICESpnR6-1,Streptococcus pneumoniae R6
ICEberg|434|ICESpnTIGR4-1|GenBank|AE005672|972255..1000373,ICE,ICESpnTIGR4-1,Streptococcus pneumoniae TIGR4
ICEberg|435|ICESpnP1031-2|GenBank|CP000920|948381..979441,ICE,ICESpnP1031-2,Streptococcus pneumoniae P1031
ICEberg|35|ICEVchVie1|GenBank|AB114188|1..23402,ICE,ICEVchVie1,Vibrio cholerae
ICEberg|57|ICEclc(JS705)|GenBank|AJ006307|1..12483,ICE,ICEclc(JS705),Ralstonia sp. JS705
ICEberg|65|CTnGERM1|GenBank|AJ557257|1..18842,ICE,CTnGERM1,Bacteroides ovatus
ICEberg|93|TcrEmr7853|GenBank|L42817|1..1076,ICE,TcrEmr7853,Bacteroides thetaiotaomicron
ICEberg|95|Tn5252(partofTn5253)|GenBank|AF295925|1..9521,ICE,Tn5252(partofTn5253),Streptococcus pneumoniae
ICEberg|107|TnB1230|GenBank|AJ222769|1..11849,ICE,TnB1230,Butyrivibrio fibrisolvens
ICEberg|124|pRS01|GenBank|U50902|1..12851,ICE,pRS01,Lactococcus lactis subsp. lactis
ICEberg|125|CW459tet(M)|GenBank|AF329848|1..8691,ICE,CW459tet(M),Clostridium perfringens
