GENE,TYPE,
gene:plasmid:109387,PLASMID,
gene:plasmid:109388,PLASMID,
gene:plasmid:109391,PLASMID,
gene:plasmid:109392,PLASMID,
gene:plasmid:109393,PLASMID,
gene:plasmid:109394,PLASMID,
gene:plasmid:109395,PLASMID,
gene:plasmid:109396,PLASMID,
gene:plasmid:109397,PLASMID,
gene:plasmid:109400,PLASMID,
gene:plasmid:109401,PLASMID,
gene:plasmid:109402,PLASMID,
gene:plasmid:109403,PLASMID,
gene:plasmid:109405,PLASMID,
gene:plasmid:109406,PLASMID,
gene:plasmid:109407,PLASMID,
gene:plasmid:109408,PLASMID,
gene:plasmid:109409,PLASMID,
gene:plasmid:109411,PLASMID,
gene:plasmid:109413,PLASMID,
gene:plasmid:109414,PLASMID,
gene:plasmid:109415,PLASMID,
gene:plasmid:109441,PLASMID,
gene:plasmid:109452,PLASMID,
gene:plasmid:109458,TE,
gene:plasmid:109460,TE,
gene:plasmid:10965,PLASMID,
gene:plasmid:109665,PLASMID,
gene:plasmid:109675,PLASMID,
gene:plasmid:109677,PLASMID,
gene:plasmid:109681,PLASMID,
gene:plasmid:109683,PLASMID,
gene:plasmid:109684,PLASMID,
gene:plasmid:109688,PLASMID,
gene:plasmid:109691,PLASMID,
gene:plasmid:109692,PLASMID,
gene:plasmid:109694,PLASMID,
gene:plasmid:109699,PLASMID,
gene:plasmid:109701,PLASMID,
gene:plasmid:109702,PLASMID,
gene:plasmid:109703,PLASMID,
gene:plasmid:109704,PLASMID,
gene:plasmid:109705,PLASMID,
gene:plasmid:109708,PLASMID,
gene:plasmid:109710,PLASMID,
gene:plasmid:109711,PLASMID,
gene:plasmid:109713,PLASMID,
gene:plasmid:109714,PLASMID,
gene:plasmid:109715,PLASMID,
gene:plasmid:109720,PLASMID,
gene:plasmid:109721,PLASMID,
gene:plasmid:109724,PLASMID,
gene:plasmid:109728,PLASMID,
gene:plasmid:109730,PLASMID,
gene:plasmid:109731,PLASMID,
gene:plasmid:109732,PLASMID,
gene:plasmid:109734,PLASMID,
gene:plasmid:109738,PLASMID,
gene:plasmid:109743,PLASMID,
gene:plasmid:109744,PLASMID,
gene:plasmid:109745,PLASMID,
gene:plasmid:109747,PLASMID,
gene:plasmid:109749,PLASMID,
gene:plasmid:109750,PLASMID,
gene:plasmid:109753,PLASMID,
gene:plasmid:109760,PLASMID,
gene:plasmid:109761,PLASMID,
gene:plasmid:109762,PLASMID,
gene:plasmid:109763,PLASMID,
gene:plasmid:109769,PLASMID,
gene:plasmid:109775,PLASMID,
gene:plasmid:109777,PLASMID,
gene:plasmid:109782,PLASMID,
gene:plasmid:109788,PLASMID,
gene:plasmid:109789,PLASMID,
gene:plasmid:109790,PLASMID,
gene:plasmid:109792,PLASMID,
gene:plasmid:109793,PLASMID,
gene:plasmid:109795,PLASMID,
gene:plasmid:109796,PLASMID,
gene:plasmid:109798,PLASMID,
gene:plasmid:109799,PLASMID,
gene:plasmid:109800,PLASMID,
gene:plasmid:109801,PLASMID,
gene:plasmid:109803,PLASMID,
gene:plasmid:109805,PLASMID,
gene:plasmid:109807,PLASMID,
gene:plasmid:109810,PLASMID,
gene:plasmid:109811,PLASMID,
gene:plasmid:109812,PLASMID,
gene:plasmid:109814,PLASMID,
gene:plasmid:109816,PLASMID,
gene:plasmid:109818,PLASMID,
gene:plasmid:109822,IS,
gene:plasmid:109823,PLASMID,
gene:plasmid:109824,PLASMID,
gene:plasmid:109827,PLASMID,
gene:plasmid:109829,PLASMID,
gene:plasmid:109830,PLASMID,
gene:plasmid:109833,PLASMID,
gene:plasmid:109836,PLASMID,
gene:plasmid:109837,PLASMID,
gene:plasmid:109838,PLASMID,
gene:plasmid:109839,PLASMID,
gene:plasmid:109842,PLASMID,
gene:plasmid:109843,PLASMID,
gene:plasmid:109847,PLASMID,
gene:plasmid:109848,PLASMID,
gene:plasmid:109849,PLASMID,
gene:plasmid:109850,IS,
gene:plasmid:109852,IS,
gene:plasmid:109853,PLASMID,
gene:plasmid:109856,PLASMID,
gene:plasmid:109857,PLASMID,
gene:plasmid:109861,PLASMID,
gene:plasmid:109862,PLASMID,
gene:plasmid:109865,PLASMID,
gene:plasmid:109868,PLASMID,
gene:plasmid:109875,PLASMID,
gene:plasmid:109879,PLASMID,
gene:plasmid:109880,PLASMID,
gene:plasmid:109882,PLASMID,
gene:plasmid:109883,PLASMID,
gene:plasmid:109884,PLASMID,
gene:plasmid:109886,PLASMID,
gene:plasmid:109890,PLASMID,
gene:plasmid:109891,PLASMID,
gene:plasmid:109894,PLASMID,
gene:plasmid:109897,PLASMID,
gene:plasmid:109898,PLASMID,
gene:plasmid:109899,PLASMID,
gene:plasmid:109900,PLASMID,
gene:plasmid:109902,PLASMID,
gene:plasmid:109903,PLASMID,
gene:plasmid:109905,PLASMID,
gene:plasmid:109908,PLASMID,
gene:plasmid:109909,PLASMID,
gene:plasmid:109910,PLASMID,
gene:plasmid:109912,PLASMID,
gene:plasmid:109913,PLASMID,
gene:plasmid:109916,PLASMID,
gene:plasmid:109917,PLASMID,
gene:plasmid:109920,PLASMID,
gene:plasmid:109921,PLASMID,
gene:plasmid:109922,PLASMID,
gene:plasmid:109925,PLASMID,
gene:plasmid:109928,PLASMID,
gene:plasmid:109932,PLASMID,
gene:plasmid:109935,PLASMID,
gene:plasmid:109939,PLASMID,
gene:plasmid:109940,PLASMID,
gene:plasmid:109941,PLASMID,
gene:plasmid:109943,VIRUS,
gene:plasmid:109948,PLASMID,
gene:plasmid:109951,PLASMID,
gene:plasmid:109953,PLASMID,
gene:plasmid:109956,PLASMID,
gene:plasmid:109957,PLASMID,
gene:plasmid:109958,PLASMID,
gene:plasmid:109959,PLASMID,
gene:plasmid:109963,PLASMID,
gene:plasmid:109965,PLASMID,
gene:plasmid:109967,PLASMID,
gene:plasmid:109969,PLASMID,
gene:plasmid:110033,PLASMID,
gene:plasmid:110063,PLASMID,
gene:plasmid:110064,PLASMID,
gene:plasmid:110081,PLASMID,
gene:plasmid:110130,PLASMID,
gene:plasmid:110137,PLASMID,
gene:plasmid:110138,PLASMID,
gene:plasmid:110139,PLASMID,
gene:plasmid:110145,PLASMID,
gene:plasmid:110159,PLASMID,
gene:plasmid:110163,PLASMID,
gene:plasmid:110183,PLASMID,
gene:plasmid:110188,PLASMID,
gene:plasmid:110205,PLASMID,
gene:plasmid:11021,PLASMID,
gene:plasmid:110220,PLASMID,
gene:plasmid:110239,PLASMID,
gene:plasmid:110240,PLASMID,
gene:plasmid:110258,PLASMID,
gene:plasmid:110259,PLASMID,
gene:plasmid:11026,PLASMID,
gene:plasmid:11029,PLASMID,
gene:plasmid:110291,PLASMID,
gene:plasmid:110303,PLASMID,
gene:plasmid:110359,IS,
gene:plasmid:110360,IS,
gene:plasmid:110362,PLASMID,
gene:plasmid:110369,PLASMID,
gene:plasmid:110372,IS,
gene:plasmid:110373,IS,
gene:plasmid:110374,PLASMID,
gene:plasmid:110376,PLASMID,
gene:plasmid:110382,IS,
gene:plasmid:110384,PLASMID,
gene:plasmid:110388,TE,
gene:plasmid:110391,PLASMID,
gene:plasmid:110396,PLASMID,
gene:plasmid:110399,PLASMID,
gene:plasmid:110400,PLASMID,
gene:plasmid:110401,PLASMID,
gene:plasmid:110402,PLASMID,
gene:plasmid:110411,PLASMID,
gene:plasmid:110412,PLASMID,
gene:plasmid:110414,PLASMID,
gene:plasmid:110415,IS,
gene:plasmid:110416,IS,
gene:plasmid:11042,PROPHAGE,
gene:plasmid:110437,PLASMID,
gene:plasmid:110439,PLASMID,
gene:plasmid:110440,PLASMID,
gene:plasmid:110442,PLASMID,
gene:plasmid:110453,PLASMID,
gene:plasmid:110461,PLASMID,
gene:plasmid:110466,PLASMID,
gene:plasmid:110469,PLASMID,
gene:plasmid:110470,PLASMID,
gene:plasmid:110474,PLASMID,
gene:plasmid:110475,PLASMID,
gene:plasmid:110478,VIRUS,
gene:plasmid:110479,PLASMID,
gene:plasmid:110485,PLASMID,
gene:plasmid:110489,PLASMID,
gene:plasmid:110491,PLASMID,
gene:plasmid:110493,PLASMID,
gene:plasmid:110494,PLASMID,
gene:plasmid:110495,PLASMID,
gene:plasmid:110496,PLASMID,
gene:plasmid:110497,PLASMID,
gene:plasmid:110498,PLASMID,
gene:plasmid:110499,PLASMID,
gene:plasmid:110500,PLASMID,
gene:plasmid:110501,PLASMID,
gene:plasmid:110503,VIRUS,
gene:plasmid:110511,PLASMID,
gene:plasmid:110515,PLASMID,
gene:plasmid:110518,PLASMID,
gene:plasmid:110551,PLASMID,
gene:plasmid:110594,PLASMID,
gene:plasmid:11060,PLASMID,
gene:plasmid:110680,PLASMID,
gene:plasmid:110806,TE,
gene:plasmid:110808,TE,
gene:plasmid:110818,PLASMID,
gene:plasmid:110829,AMR,
gene:plasmid:110830,AMR,
gene:plasmid:110833,PLASMID,
gene:plasmid:110837,PLASMID,
gene:plasmid:110838,PLASMID,
gene:plasmid:110839,PLASMID,
gene:plasmid:110844,AMR,
gene:plasmid:110846,PLASMID,
gene:plasmid:110847,PLASMID,
gene:plasmid:110848,PLASMID,
gene:plasmid:110849,PLASMID,
gene:plasmid:110850,PLASMID,
gene:plasmid:110851,PLASMID,
gene:plasmid:110852,PLASMID,
gene:plasmid:110856,PLASMID,
gene:plasmid:110857,PLASMID,
gene:plasmid:110860,PLASMID,
gene:plasmid:110861,PLASMID,
gene:plasmid:110864,PLASMID,
gene:plasmid:110865,PLASMID,
gene:plasmid:110870,PLASMID,
gene:plasmid:110871,PLASMID,
gene:plasmid:110872,IS,
gene:plasmid:110873,IS,
gene:plasmid:110874,PLASMID,
gene:plasmid:110875,PLASMID,
gene:plasmid:110878,PLASMID,
gene:plasmid:110879,PLASMID,
gene:plasmid:110881,AMR,
gene:plasmid:110884,PLASMID,
gene:plasmid:110887,PLASMID,
gene:plasmid:110897,PLASMID,
gene:plasmid:110902,PLASMID,
gene:plasmid:110903,PLASMID,
gene:plasmid:110904,PLASMID,
gene:plasmid:110905,PLASMID,
gene:plasmid:110906,PLASMID,
gene:plasmid:110907,PLASMID,
gene:plasmid:110908,PLASMID,
gene:plasmid:110912,PLASMID,
gene:plasmid:110913,PLASMID,
gene:plasmid:110917,PLASMID,
gene:plasmid:110920,AMR,
gene:plasmid:110922,PLASMID,
gene:plasmid:110928,PLASMID,
gene:plasmid:110930,PLASMID,
gene:plasmid:110931,PLASMID,
gene:plasmid:110932,PLASMID,
gene:plasmid:110933,PLASMID,
gene:plasmid:110934,PLASMID,
gene:plasmid:110935,PLASMID,
gene:plasmid:110936,AMR,
gene:plasmid:110937,PLASMID,
gene:plasmid:110938,PLASMID,
gene:plasmid:110941,PLASMID,
gene:plasmid:110942,PLASMID,
gene:plasmid:110945,PLASMID,
gene:plasmid:110946,PLASMID,
gene:plasmid:110947,PLASMID,
gene:plasmid:110948,PLASMID,
gene:plasmid:110949,PLASMID,
gene:plasmid:110951,PLASMID,
gene:plasmid:110952,PLASMID,
gene:plasmid:110954,PLASMID,
gene:plasmid:110955,PLASMID,
gene:plasmid:110956,PLASMID,
gene:plasmid:110959,PLASMID,
gene:plasmid:110966,PLASMID,
gene:plasmid:110972,PLASMID,
gene:plasmid:110973,PLASMID,
gene:plasmid:110974,PLASMID,
gene:plasmid:110976,PLASMID,
gene:plasmid:110977,PLASMID,
gene:plasmid:110978,PLASMID,
gene:plasmid:110979,PLASMID,
gene:plasmid:110980,PLASMID,
gene:plasmid:110981,PLASMID,
gene:plasmid:110982,PLASMID,
gene:plasmid:110983,PLASMID,
gene:plasmid:110984,PLASMID,
gene:plasmid:110985,PLASMID,
gene:plasmid:110986,PLASMID,
gene:plasmid:110987,PLASMID,
gene:plasmid:110988,PLASMID,
gene:plasmid:110989,PLASMID,
gene:plasmid:110990,PLASMID,
gene:plasmid:111000,PLASMID,
gene:plasmid:111003,PLASMID,
gene:plasmid:111004,PLASMID,
gene:plasmid:111005,PLASMID,
gene:plasmid:111006,PLASMID,
gene:plasmid:111007,PLASMID,
gene:plasmid:111008,PLASMID,
gene:plasmid:111009,PLASMID,
gene:plasmid:111010,PLASMID,
gene:plasmid:111011,PLASMID,
gene:plasmid:111012,PLASMID,
gene:plasmid:111013,PLASMID,
gene:plasmid:111014,PLASMID,
gene:plasmid:111015,PLASMID,
gene:plasmid:111016,PLASMID,
gene:plasmid:111017,PLASMID,
gene:plasmid:111019,VIRUS,
gene:plasmid:111089,PLASMID,
gene:plasmid:11109,PLASMID,
gene:plasmid:111090,PLASMID,
gene:plasmid:111091,PLASMID,
gene:plasmid:111092,PLASMID,
gene:plasmid:111093,PLASMID,
gene:plasmid:111094,PLASMID,
gene:plasmid:111097,PLASMID,
gene:plasmid:111098,PLASMID,
gene:plasmid:111103,PLASMID,
gene:plasmid:111104,PLASMID,
gene:plasmid:111105,PLASMID,
gene:plasmid:111106,PLASMID,
gene:plasmid:111108,PLASMID,
gene:plasmid:111109,PLASMID,
gene:plasmid:111110,PLASMID,
gene:plasmid:111111,PLASMID,
gene:plasmid:111112,PLASMID,
gene:plasmid:111113,PLASMID,
gene:plasmid:111116,PLASMID,
gene:plasmid:111117,PLASMID,
gene:plasmid:111118,PLASMID,
gene:plasmid:111119,PLASMID,
gene:plasmid:111120,PLASMID,
gene:plasmid:111121,PLASMID,
gene:plasmid:111122,PLASMID,
gene:plasmid:111123,PLASMID,
gene:plasmid:111124,PLASMID,
gene:plasmid:111126,PLASMID,
gene:plasmid:111128,PLASMID,
gene:plasmid:111129,PLASMID,
gene:plasmid:111130,PLASMID,
gene:plasmid:111132,PLASMID,
gene:plasmid:111133,PLASMID,
gene:plasmid:111134,PLASMID,
gene:plasmid:111135,PLASMID,
gene:plasmid:111136,PLASMID,
gene:plasmid:111137,PLASMID,
gene:plasmid:111140,PLASMID,
gene:plasmid:111143,PLASMID,
gene:plasmid:111144,PLASMID,
gene:plasmid:111145,PLASMID,
gene:plasmid:111146,PLASMID,
gene:plasmid:111149,PLASMID,
gene:plasmid:111152,PLASMID,
gene:plasmid:111160,PLASMID,
gene:plasmid:111163,PLASMID,
gene:plasmid:111164,PLASMID,
gene:plasmid:111165,PLASMID,
gene:plasmid:111166,PLASMID,
gene:plasmid:111167,PLASMID,
gene:plasmid:111168,PLASMID,
gene:plasmid:111170,PLASMID,
gene:plasmid:111171,PLASMID,
gene:plasmid:111175,PLASMID,
gene:plasmid:111176,PLASMID,
gene:plasmid:111177,PLASMID,
gene:plasmid:111186,PLASMID,
gene:plasmid:111187,PLASMID,
gene:plasmid:111190,PLASMID,
gene:plasmid:111191,PLASMID,
gene:plasmid:111193,PLASMID,
gene:plasmid:111195,PLASMID,
gene:plasmid:111200,PLASMID,
gene:plasmid:111201,PLASMID,
gene:plasmid:111202,PLASMID,
gene:plasmid:111203,PLASMID,
gene:plasmid:111204,PLASMID,
gene:plasmid:111205,PLASMID,
gene:plasmid:111211,PLASMID,
gene:plasmid:111212,PLASMID,
gene:plasmid:111213,PLASMID,
gene:plasmid:111214,PLASMID,
gene:plasmid:111215,PLASMID,
gene:plasmid:111216,PLASMID,
gene:plasmid:111217,PLASMID,
gene:plasmid:111218,PLASMID,
gene:plasmid:111219,PLASMID,
gene:plasmid:111220,PLASMID,
gene:plasmid:111222,PLASMID,
gene:plasmid:111223,PLASMID,
gene:plasmid:111224,PLASMID,
gene:plasmid:111225,PLASMID,
gene:plasmid:111226,PLASMID,
gene:plasmid:111227,PLASMID,
gene:plasmid:111228,PLASMID,
gene:plasmid:111229,PLASMID,
gene:plasmid:111230,PLASMID,
gene:plasmid:111231,PLASMID,
gene:plasmid:111232,PLASMID,
gene:plasmid:111233,PLASMID,
gene:plasmid:111234,PLASMID,
gene:plasmid:111236,PLASMID,
gene:plasmid:111242,PLASMID,
gene:plasmid:111243,PLASMID,
gene:plasmid:111244,PLASMID,
gene:plasmid:111246,PLASMID,
gene:plasmid:111251,PLASMID,
gene:plasmid:111252,PLASMID,
gene:plasmid:111253,PLASMID,
gene:plasmid:111254,PLASMID,
gene:plasmid:111255,PLASMID,
gene:plasmid:111256,PLASMID,
gene:plasmid:111257,PLASMID,
gene:plasmid:111258,PLASMID,
gene:plasmid:111259,PLASMID,
gene:plasmid:111260,PLASMID,
gene:plasmid:111261,PLASMID,
gene:plasmid:111262,PLASMID,
gene:plasmid:111263,PLASMID,
gene:plasmid:111264,PLASMID,
gene:plasmid:111265,PLASMID,
gene:plasmid:111267,PLASMID,
gene:plasmid:111268,PLASMID,
gene:plasmid:111269,PLASMID,
gene:plasmid:111270,PLASMID,
gene:plasmid:111271,PLASMID,
gene:plasmid:111272,PLASMID,
gene:plasmid:111274,PLASMID,
gene:plasmid:111275,PLASMID,
gene:plasmid:111276,PLASMID,
gene:plasmid:111277,PLASMID,
gene:plasmid:111278,PLASMID,
gene:plasmid:111279,PLASMID,
gene:plasmid:111280,PLASMID,
gene:plasmid:111281,PLASMID,
gene:plasmid:111282,PLASMID,
gene:plasmid:111283,PLASMID,
gene:plasmid:111284,PLASMID,
gene:plasmid:111285,PLASMID,
gene:plasmid:111287,PLASMID,
gene:plasmid:111290,PLASMID,
gene:plasmid:111291,PLASMID,
gene:plasmid:111292,PLASMID,
gene:plasmid:111293,PLASMID,
gene:plasmid:111294,PLASMID,
gene:plasmid:111295,PLASMID,
gene:plasmid:111297,PLASMID,
gene:plasmid:111298,PLASMID,
gene:plasmid:111299,PLASMID,
gene:plasmid:111300,PLASMID,
gene:plasmid:111301,PLASMID,
gene:plasmid:111302,PLASMID,
gene:plasmid:111305,PLASMID,
gene:plasmid:111306,PLASMID,
gene:plasmid:111307,PLASMID,
gene:plasmid:111308,PLASMID,
gene:plasmid:111309,PLASMID,
gene:plasmid:111315,PLASMID,
gene:plasmid:111320,PLASMID,
gene:plasmid:111327,PLASMID,
gene:plasmid:111329,PLASMID,
gene:plasmid:111331,PLASMID,
gene:plasmid:111332,PLASMID,
gene:plasmid:111334,PLASMID,
gene:plasmid:111335,PLASMID,
gene:plasmid:111339,PLASMID,
gene:plasmid:111341,PLASMID,
gene:plasmid:111342,PLASMID,
gene:plasmid:111343,PLASMID,
gene:plasmid:111345,PLASMID,
gene:plasmid:111346,PLASMID,
gene:plasmid:111347,PLASMID,
gene:plasmid:111348,PLASMID,
gene:plasmid:111351,PLASMID,
gene:plasmid:111353,PLASMID,
gene:plasmid:111356,PLASMID,
gene:plasmid:111357,PLASMID,
gene:plasmid:111359,PLASMID,
gene:plasmid:111360,PLASMID,
gene:plasmid:111361,VIRUS,
gene:plasmid:111363,PLASMID,
gene:plasmid:111365,PLASMID,
gene:plasmid:111366,PLASMID,
gene:plasmid:111368,PLASMID,
gene:plasmid:111369,PLASMID,
gene:plasmid:111370,PLASMID,
gene:plasmid:111371,PLASMID,
gene:plasmid:111372,PLASMID,
gene:plasmid:111375,PLASMID,
gene:plasmid:111376,PLASMID,
gene:plasmid:111377,PLASMID,
gene:plasmid:111379,PLASMID,
gene:plasmid:111381,PLASMID,
gene:plasmid:111382,PLASMID,
gene:plasmid:111385,PLASMID,
gene:plasmid:111386,PLASMID,
gene:plasmid:111389,PLASMID,
gene:plasmid:111390,PLASMID,
gene:plasmid:111396,PLASMID,
gene:plasmid:111398,PLASMID,
gene:plasmid:111400,PLASMID,
gene:plasmid:111401,PLASMID,
gene:plasmid:111402,PLASMID,
gene:plasmid:111403,PLASMID,
gene:plasmid:111404,PLASMID,
gene:plasmid:111405,PLASMID,
gene:plasmid:111406,PLASMID,
gene:plasmid:111407,PLASMID,
gene:plasmid:111408,PLASMID,
gene:plasmid:111410,PLASMID,
gene:plasmid:111411,PLASMID,
gene:plasmid:111412,PLASMID,
gene:plasmid:111416,PLASMID,
gene:plasmid:111418,PLASMID,
gene:plasmid:111419,PLASMID,
gene:plasmid:111421,PLASMID,
gene:plasmid:111422,PLASMID,
gene:plasmid:111423,PLASMID,
gene:plasmid:111427,PLASMID,
gene:plasmid:111428,PLASMID,
gene:plasmid:111436,PLASMID,
gene:plasmid:111444,PLASMID,
gene:plasmid:111446,PLASMID,
gene:plasmid:111447,PLASMID,
gene:plasmid:111448,PLASMID,
gene:plasmid:111449,PLASMID,
gene:plasmid:111451,PLASMID,
gene:plasmid:111452,PLASMID,
gene:plasmid:111453,PLASMID,
gene:plasmid:111454,PLASMID,
gene:plasmid:111455,PLASMID,
gene:plasmid:111457,PLASMID,
gene:plasmid:111459,PLASMID,
gene:plasmid:111460,PLASMID,
gene:plasmid:111461,PLASMID,
gene:plasmid:111463,PLASMID,
gene:plasmid:111464,PLASMID,
gene:plasmid:111465,PLASMID,
gene:plasmid:111467,PLASMID,
gene:plasmid:111470,PLASMID,
gene:plasmid:111471,PLASMID,
gene:plasmid:111473,PLASMID,
gene:plasmid:111474,PLASMID,
gene:plasmid:111476,PLASMID,
gene:plasmid:111477,PLASMID,
gene:plasmid:111478,PLASMID,
gene:plasmid:111481,PLASMID,
gene:plasmid:111483,PLASMID,
gene:plasmid:111485,PLASMID,
gene:plasmid:111486,PLASMID,
gene:plasmid:111487,PLASMID,
gene:plasmid:111488,PLASMID,
gene:plasmid:111489,PLASMID,
gene:plasmid:11149,PLASMID,
gene:plasmid:111490,PLASMID,
gene:plasmid:111491,PLASMID,
gene:plasmid:111492,PLASMID,
gene:plasmid:111493,PLASMID,
gene:plasmid:111494,PLASMID,
gene:plasmid:111495,PLASMID,
gene:plasmid:111498,PLASMID,
gene:plasmid:111499,PLASMID,
gene:plasmid:111501,PLASMID,
gene:plasmid:111503,PLASMID,
gene:plasmid:111504,PLASMID,
gene:plasmid:111507,PLASMID,
gene:plasmid:111508,PLASMID,
gene:plasmid:111511,PLASMID,
gene:plasmid:111514,PLASMID,
gene:plasmid:111518,PLASMID,
gene:plasmid:111519,PLASMID,
gene:plasmid:111520,PLASMID,
gene:plasmid:111522,PLASMID,
gene:plasmid:111526,PLASMID,
gene:plasmid:111528,PLASMID,
gene:plasmid:111536,PLASMID,
gene:plasmid:111537,PLASMID,
gene:plasmid:111538,PLASMID,
gene:plasmid:111542,PLASMID,
gene:plasmid:111543,PLASMID,
gene:plasmid:111547,PLASMID,
gene:plasmid:111550,PLASMID,
gene:plasmid:111563,PLASMID,
gene:plasmid:111564,PLASMID,
gene:plasmid:111565,PLASMID,
gene:plasmid:111566,PLASMID,
gene:plasmid:111569,PLASMID,
gene:plasmid:111570,PLASMID,
gene:plasmid:111571,PLASMID,
gene:plasmid:111573,PLASMID,
gene:plasmid:111574,PLASMID,
gene:plasmid:111575,PLASMID,
gene:plasmid:111577,PLASMID,
gene:plasmid:111578,PLASMID,
gene:plasmid:111579,PLASMID,
gene:plasmid:111580,PLASMID,
gene:plasmid:111581,PLASMID,
gene:plasmid:111582,IS,
gene:plasmid:111583,PLASMID,
gene:plasmid:111584,PLASMID,
gene:plasmid:111586,PLASMID,
gene:plasmid:111587,PLASMID,
gene:plasmid:111590,PLASMID,
gene:plasmid:111591,PLASMID,
gene:plasmid:111592,PLASMID,
gene:plasmid:111593,PLASMID,
gene:plasmid:111594,PLASMID,
gene:plasmid:111595,PLASMID,
gene:plasmid:111596,PLASMID,
gene:plasmid:111597,PLASMID,
gene:plasmid:111598,PLASMID,
gene:plasmid:111599,PLASMID,
gene:plasmid:111600,PLASMID,
gene:plasmid:111601,PLASMID,
gene:plasmid:111602,PLASMID,
gene:plasmid:111603,PLASMID,
gene:plasmid:111604,PLASMID,
gene:plasmid:111605,PLASMID,
gene:plasmid:111606,PLASMID,
gene:plasmid:111608,PLASMID,
gene:plasmid:111611,PLASMID,
gene:plasmid:111613,PLASMID,
gene:plasmid:111614,PLASMID,
gene:plasmid:111615,PLASMID,
gene:plasmid:111616,PLASMID,
gene:plasmid:111619,PLASMID,
gene:plasmid:111620,PLASMID,
gene:plasmid:111621,PLASMID,
gene:plasmid:111622,PLASMID,
gene:plasmid:111623,PLASMID,
gene:plasmid:111624,PLASMID,
gene:plasmid:111626,PLASMID,
gene:plasmid:111628,PLASMID,
gene:plasmid:111630,PLASMID,
gene:plasmid:111631,PLASMID,
gene:plasmid:111632,PLASMID,
gene:plasmid:111633,PLASMID,
gene:plasmid:111635,PLASMID,
gene:plasmid:111636,PLASMID,
gene:plasmid:111637,PLASMID,
gene:plasmid:111638,PLASMID,
gene:plasmid:111640,PLASMID,
gene:plasmid:111641,PLASMID,
gene:plasmid:111643,PLASMID,
gene:plasmid:111647,PLASMID,
gene:plasmid:111648,PLASMID,
gene:plasmid:111651,PLASMID,
gene:plasmid:111652,PLASMID,
gene:plasmid:111653,PLASMID,
gene:plasmid:111654,PLASMID,
gene:plasmid:111655,PLASMID,
gene:plasmid:111657,PLASMID,
gene:plasmid:111658,PLASMID,
gene:plasmid:111660,PLASMID,
gene:plasmid:111661,PLASMID,
gene:plasmid:111662,PLASMID,
gene:plasmid:111666,PLASMID,
gene:plasmid:111667,PLASMID,
gene:plasmid:111669,PLASMID,
gene:plasmid:111670,PLASMID,
gene:plasmid:111673,PLASMID,
gene:plasmid:111674,PLASMID,
gene:plasmid:111675,PLASMID,
gene:plasmid:111677,PLASMID,
gene:plasmid:111678,PLASMID,
gene:plasmid:111679,PLASMID,
gene:plasmid:111683,PLASMID,
gene:plasmid:111690,PLASMID,
gene:plasmid:111693,PLASMID,
gene:plasmid:111697,PLASMID,
gene:plasmid:111701,PLASMID,
gene:plasmid:111702,PLASMID,
