GENE,TYPE,DATABASE
gene:plasmid:110440,PLASMID,ACLAME
gene:plasmid:110442,PLASMID,ACLAME
gene:plasmid:110453,PLASMID,ACLAME
gene:plasmid:110461,PLASMID,ACLAME
gene:plasmid:110466,PLASMID,ACLAME
gene:plasmid:110469,PLASMID,ACLAME
gene:plasmid:110470,PLASMID,ACLAME
gene:plasmid:110474,PLASMID,ACLAME
gene:plasmid:110475,PLASMID,ACLAME
gene:plasmid:110478,VIRUS,ACLAME
gene:plasmid:110479,PLASMID,ACLAME
gene:plasmid:110485,PLASMID,ACLAME
gene:plasmid:110489,PLASMID,ACLAME
gene:plasmid:110491,PLASMID,ACLAME
gene:plasmid:110493,PLASMID,ACLAME
gene:plasmid:110494,PLASMID,ACLAME
gene:plasmid:110495,PLASMID,ACLAME
gene:plasmid:110496,PLASMID,ACLAME
gene:plasmid:110497,PLASMID,ACLAME
gene:plasmid:110498,PLASMID,ACLAME
gene:plasmid:110499,PLASMID,ACLAME
gene:plasmid:110500,PLASMID,ACLAME
gene:plasmid:110501,PLASMID,ACLAME
gene:plasmid:110503,VIRUS,ACLAME
gene:plasmid:110511,PLASMID,ACLAME
gene:plasmid:110515,PLASMID,ACLAME
gene:plasmid:110518,PLASMID,ACLAME
gene:plasmid:110551,PLASMID,ACLAME
gene:plasmid:110594,PLASMID,ACLAME
gene:plasmid:11060,PLASMID,ACLAME
gene:plasmid:110680,PLASMID,ACLAME
gene:plasmid:110806,TE,ACLAME
gene:plasmid:110808,TE,ACLAME
gene:plasmid:110818,PLASMID,ACLAME
gene:plasmid:110829,AMR,ACLAME
gene:plasmid:110830,AMR,ACLAME
gene:plasmid:110833,PLASMID,ACLAME
gene:plasmid:110837,PLASMID,ACLAME
gene:plasmid:110838,PLASMID,ACLAME
gene:plasmid:110839,PLASMID,ACLAME
gene:plasmid:110844,AMR,ACLAME
gene:plasmid:110846,PLASMID,ACLAME
gene:plasmid:110847,PLASMID,ACLAME
gene:plasmid:110848,PLASMID,ACLAME
gene:plasmid:110849,PLASMID,ACLAME
gene:plasmid:110850,PLASMID,ACLAME
gene:plasmid:110851,PLASMID,ACLAME
gene:plasmid:110852,PLASMID,ACLAME
gene:plasmid:110856,PLASMID,ACLAME
gene:plasmid:110857,PLASMID,ACLAME
gene:plasmid:110860,PLASMID,ACLAME
gene:plasmid:110861,PLASMID,ACLAME
gene:plasmid:110864,PLASMID,ACLAME
gene:plasmid:110865,PLASMID,ACLAME
gene:plasmid:110870,PLASMID,ACLAME
gene:plasmid:110871,PLASMID,ACLAME
gene:plasmid:110872,IS,ACLAME
gene:plasmid:110873,IS,ACLAME
gene:plasmid:110874,PLASMID,ACLAME
gene:plasmid:110875,PLASMID,ACLAME
gene:plasmid:110878,PLASMID,ACLAME
gene:plasmid:110879,PLASMID,ACLAME
gene:plasmid:110881,AMR,ACLAME
gene:plasmid:110884,PLASMID,ACLAME
gene:plasmid:110887,PLASMID,ACLAME
gene:plasmid:110897,PLASMID,ACLAME
gene:plasmid:110902,PLASMID,ACLAME
gene:plasmid:110903,PLASMID,ACLAME
gene:plasmid:110904,PLASMID,ACLAME
gene:plasmid:110905,PLASMID,ACLAME
gene:plasmid:110906,PLASMID,ACLAME
gene:plasmid:110907,PLASMID,ACLAME
gene:plasmid:110908,PLASMID,ACLAME
gene:plasmid:110912,PLASMID,ACLAME
gene:plasmid:110913,PLASMID,ACLAME
gene:plasmid:110917,PLASMID,ACLAME
gene:plasmid:110920,AMR,ACLAME
gene:plasmid:110922,PLASMID,ACLAME
gene:plasmid:110928,PLASMID,ACLAME
gene:plasmid:110930,PLASMID,ACLAME
gene:plasmid:110931,PLASMID,ACLAME
gene:plasmid:110932,PLASMID,ACLAME
gene:plasmid:110933,PLASMID,ACLAME
gene:plasmid:110934,PLASMID,ACLAME
gene:plasmid:110935,PLASMID,ACLAME
gene:plasmid:110936,AMR,ACLAME
gene:plasmid:110937,PLASMID,ACLAME
gene:plasmid:110938,PLASMID,ACLAME
gene:plasmid:110941,PLASMID,ACLAME
gene:plasmid:110942,PLASMID,ACLAME
gene:plasmid:110945,PLASMID,ACLAME
gene:plasmid:110946,PLASMID,ACLAME
gene:plasmid:110947,PLASMID,ACLAME
gene:plasmid:110948,PLASMID,ACLAME
gene:plasmid:110949,PLASMID,ACLAME
gene:plasmid:110951,PLASMID,ACLAME
gene:plasmid:110952,PLASMID,ACLAME
gene:plasmid:110954,PLASMID,ACLAME
gene:plasmid:110955,PLASMID,ACLAME
gene:plasmid:110956,PLASMID,ACLAME
gene:plasmid:110959,PLASMID,ACLAME
gene:plasmid:110966,PLASMID,ACLAME
gene:plasmid:110972,PLASMID,ACLAME
gene:plasmid:110973,PLASMID,ACLAME
gene:plasmid:110974,PLASMID,ACLAME
gene:plasmid:110976,PLASMID,ACLAME
gene:plasmid:110977,PLASMID,ACLAME
gene:plasmid:110978,PLASMID,ACLAME
gene:plasmid:110979,PLASMID,ACLAME
gene:plasmid:110980,PLASMID,ACLAME
gene:plasmid:110981,PLASMID,ACLAME
gene:plasmid:110982,PLASMID,ACLAME
gene:plasmid:110983,PLASMID,ACLAME
gene:plasmid:110984,PLASMID,ACLAME
gene:plasmid:110985,PLASMID,ACLAME
gene:plasmid:110986,PLASMID,ACLAME
gene:plasmid:110987,PLASMID,ACLAME
gene:plasmid:110988,PLASMID,ACLAME
gene:plasmid:110989,PLASMID,ACLAME
gene:plasmid:110990,PLASMID,ACLAME
gene:plasmid:111000,PLASMID,ACLAME
gene:plasmid:111003,PLASMID,ACLAME
gene:plasmid:111004,PLASMID,ACLAME
gene:plasmid:111005,PLASMID,ACLAME
gene:plasmid:111006,PLASMID,ACLAME
gene:plasmid:111007,PLASMID,ACLAME
gene:plasmid:111008,PLASMID,ACLAME
gene:plasmid:111009,PLASMID,ACLAME
gene:plasmid:111010,PLASMID,ACLAME
gene:plasmid:111011,PLASMID,ACLAME
gene:plasmid:111012,PLASMID,ACLAME
gene:plasmid:111013,PLASMID,ACLAME
gene:plasmid:111014,PLASMID,ACLAME
gene:plasmid:111015,PLASMID,ACLAME
gene:plasmid:111016,PLASMID,ACLAME
gene:plasmid:111017,PLASMID,ACLAME
gene:plasmid:111019,VIRUS,ACLAME
gene:plasmid:111089,PLASMID,ACLAME
gene:plasmid:11109,PLASMID,ACLAME
gene:plasmid:111090,PLASMID,ACLAME
gene:plasmid:111091,PLASMID,ACLAME
gene:plasmid:111092,PLASMID,ACLAME
gene:plasmid:111093,PLASMID,ACLAME
gene:plasmid:111094,PLASMID,ACLAME
gene:plasmid:111097,PLASMID,ACLAME
gene:plasmid:111098,PLASMID,ACLAME
gene:plasmid:111103,PLASMID,ACLAME
gene:plasmid:111104,PLASMID,ACLAME
gene:plasmid:111105,PLASMID,ACLAME
gene:plasmid:111106,PLASMID,ACLAME
gene:plasmid:111108,PLASMID,ACLAME
gene:plasmid:111109,PLASMID,ACLAME
gene:plasmid:111110,PLASMID,ACLAME
gene:plasmid:111111,PLASMID,ACLAME
gene:plasmid:111112,PLASMID,ACLAME
gene:plasmid:111113,PLASMID,ACLAME
gene:plasmid:111116,PLASMID,ACLAME
gene:plasmid:111117,PLASMID,ACLAME
gene:plasmid:111118,PLASMID,ACLAME
gene:plasmid:111119,PLASMID,ACLAME
gene:plasmid:111120,PLASMID,ACLAME
gene:plasmid:111121,PLASMID,ACLAME
gene:plasmid:111122,PLASMID,ACLAME
gene:plasmid:111123,PLASMID,ACLAME
gene:plasmid:111124,PLASMID,ACLAME
gene:plasmid:111126,PLASMID,ACLAME
gene:plasmid:111128,PLASMID,ACLAME
gene:plasmid:111129,PLASMID,ACLAME
gene:plasmid:111130,PLASMID,ACLAME
gene:plasmid:111132,PLASMID,ACLAME
gene:plasmid:111133,PLASMID,ACLAME
gene:plasmid:111134,PLASMID,ACLAME
gene:plasmid:111135,PLASMID,ACLAME
gene:plasmid:111136,PLASMID,ACLAME
gene:plasmid:111137,PLASMID,ACLAME
gene:plasmid:111140,PLASMID,ACLAME
gene:plasmid:111143,PLASMID,ACLAME
gene:plasmid:111144,PLASMID,ACLAME
gene:plasmid:111145,PLASMID,ACLAME
gene:plasmid:111146,PLASMID,ACLAME
gene:plasmid:111149,PLASMID,ACLAME
gene:plasmid:111152,PLASMID,ACLAME
gene:plasmid:111160,PLASMID,ACLAME
gene:plasmid:111163,PLASMID,ACLAME
gene:plasmid:111164,PLASMID,ACLAME
gene:plasmid:111165,PLASMID,ACLAME
gene:plasmid:111166,PLASMID,ACLAME
gene:plasmid:111167,PLASMID,ACLAME
gene:plasmid:111168,PLASMID,ACLAME
gene:plasmid:111170,PLASMID,ACLAME
gene:plasmid:111171,PLASMID,ACLAME
gene:plasmid:111175,PLASMID,ACLAME
gene:plasmid:111176,PLASMID,ACLAME
gene:plasmid:111177,PLASMID,ACLAME
gene:plasmid:111186,PLASMID,ACLAME
gene:plasmid:111187,PLASMID,ACLAME
gene:plasmid:111190,PLASMID,ACLAME
gene:plasmid:111191,PLASMID,ACLAME
gene:plasmid:111193,PLASMID,ACLAME
gene:plasmid:111195,PLASMID,ACLAME
gene:plasmid:111200,PLASMID,ACLAME
gene:plasmid:111201,PLASMID,ACLAME
gene:plasmid:111202,PLASMID,ACLAME
gene:plasmid:111203,PLASMID,ACLAME
gene:plasmid:111204,PLASMID,ACLAME
gene:plasmid:111205,PLASMID,ACLAME
gene:plasmid:111211,PLASMID,ACLAME
gene:plasmid:111212,PLASMID,ACLAME
gene:plasmid:111213,PLASMID,ACLAME
gene:plasmid:111214,PLASMID,ACLAME
gene:plasmid:111215,PLASMID,ACLAME
gene:plasmid:111216,PLASMID,ACLAME
gene:plasmid:111217,PLASMID,ACLAME
gene:plasmid:111218,PLASMID,ACLAME
gene:plasmid:111219,PLASMID,ACLAME
gene:plasmid:111220,PLASMID,ACLAME
gene:plasmid:111222,PLASMID,ACLAME
gene:plasmid:111223,PLASMID,ACLAME
gene:plasmid:111224,PLASMID,ACLAME
gene:plasmid:111225,PLASMID,ACLAME
gene:plasmid:111226,PLASMID,ACLAME
gene:plasmid:111227,PLASMID,ACLAME
gene:plasmid:111228,PLASMID,ACLAME
gene:plasmid:111229,PLASMID,ACLAME
gene:plasmid:111230,PLASMID,ACLAME
gene:plasmid:111231,PLASMID,ACLAME
gene:plasmid:111232,PLASMID,ACLAME
gene:plasmid:111233,PLASMID,ACLAME
gene:plasmid:111234,PLASMID,ACLAME
gene:plasmid:111236,PLASMID,ACLAME
gene:plasmid:111242,PLASMID,ACLAME
gene:plasmid:111243,PLASMID,ACLAME
gene:plasmid:111244,PLASMID,ACLAME
gene:plasmid:111246,PLASMID,ACLAME
gene:plasmid:111251,PLASMID,ACLAME
gene:plasmid:111252,PLASMID,ACLAME
gene:plasmid:111253,PLASMID,ACLAME
gene:plasmid:111254,PLASMID,ACLAME
gene:plasmid:111255,PLASMID,ACLAME
gene:plasmid:111256,PLASMID,ACLAME
gene:plasmid:111257,PLASMID,ACLAME
gene:plasmid:111258,PLASMID,ACLAME
gene:plasmid:111259,PLASMID,ACLAME
gene:plasmid:111260,PLASMID,ACLAME
gene:plasmid:111261,PLASMID,ACLAME
gene:plasmid:111262,PLASMID,ACLAME
gene:plasmid:111263,PLASMID,ACLAME
gene:plasmid:111264,PLASMID,ACLAME
gene:plasmid:111265,PLASMID,ACLAME
gene:plasmid:111267,PLASMID,ACLAME
gene:plasmid:111268,PLASMID,ACLAME
gene:plasmid:111269,PLASMID,ACLAME
gene:plasmid:111270,PLASMID,ACLAME
gene:plasmid:111271,PLASMID,ACLAME
gene:plasmid:111272,PLASMID,ACLAME
gene:plasmid:111274,PLASMID,ACLAME
gene:plasmid:111275,PLASMID,ACLAME
gene:plasmid:111276,PLASMID,ACLAME
gene:plasmid:111277,PLASMID,ACLAME
gene:plasmid:111278,PLASMID,ACLAME
gene:plasmid:111279,PLASMID,ACLAME
gene:plasmid:111280,PLASMID,ACLAME
gene:plasmid:111281,PLASMID,ACLAME
gene:plasmid:111282,PLASMID,ACLAME
gene:plasmid:111283,PLASMID,ACLAME
gene:plasmid:111284,PLASMID,ACLAME
gene:plasmid:111285,PLASMID,ACLAME
gene:plasmid:111287,PLASMID,ACLAME
gene:plasmid:111290,PLASMID,ACLAME
gene:plasmid:111291,PLASMID,ACLAME
gene:plasmid:111292,PLASMID,ACLAME
gene:plasmid:111293,PLASMID,ACLAME
gene:plasmid:111294,PLASMID,ACLAME
gene:plasmid:111295,PLASMID,ACLAME
gene:plasmid:111297,PLASMID,ACLAME
gene:plasmid:111298,PLASMID,ACLAME
gene:plasmid:111299,PLASMID,ACLAME
gene:plasmid:111300,PLASMID,ACLAME
gene:plasmid:111301,PLASMID,ACLAME
gene:plasmid:111302,PLASMID,ACLAME
gene:plasmid:111305,PLASMID,ACLAME
gene:plasmid:111306,PLASMID,ACLAME
gene:plasmid:111307,PLASMID,ACLAME
gene:plasmid:111308,PLASMID,ACLAME
gene:plasmid:111309,PLASMID,ACLAME
gene:plasmid:111315,PLASMID,ACLAME
gene:plasmid:111320,PLASMID,ACLAME
gene:plasmid:111327,PLASMID,ACLAME
gene:plasmid:111329,PLASMID,ACLAME
gene:plasmid:111331,PLASMID,ACLAME
gene:plasmid:111332,PLASMID,ACLAME
gene:plasmid:111334,PLASMID,ACLAME
gene:plasmid:111335,PLASMID,ACLAME
gene:plasmid:111339,PLASMID,ACLAME
gene:plasmid:111341,PLASMID,ACLAME
gene:plasmid:111342,PLASMID,ACLAME
gene:plasmid:111343,PLASMID,ACLAME
gene:plasmid:111345,PLASMID,ACLAME
gene:plasmid:111346,PLASMID,ACLAME
gene:plasmid:111347,PLASMID,ACLAME
gene:plasmid:111348,PLASMID,ACLAME
gene:plasmid:111351,PLASMID,ACLAME
gene:plasmid:111353,PLASMID,ACLAME
gene:plasmid:111356,PLASMID,ACLAME
gene:plasmid:111357,PLASMID,ACLAME
gene:plasmid:111359,PLASMID,ACLAME
gene:plasmid:111360,PLASMID,ACLAME
gene:plasmid:111361,VIRUS,ACLAME
gene:plasmid:111363,PLASMID,ACLAME
gene:plasmid:111365,PLASMID,ACLAME
gene:plasmid:111366,PLASMID,ACLAME
gene:plasmid:111368,PLASMID,ACLAME
gene:plasmid:111369,PLASMID,ACLAME
gene:plasmid:111370,PLASMID,ACLAME
gene:plasmid:111371,PLASMID,ACLAME
gene:plasmid:111372,PLASMID,ACLAME
gene:plasmid:111375,PLASMID,ACLAME
gene:plasmid:111376,PLASMID,ACLAME
gene:plasmid:111377,PLASMID,ACLAME
gene:plasmid:111379,PLASMID,ACLAME
gene:plasmid:111381,PLASMID,ACLAME
gene:plasmid:111382,PLASMID,ACLAME
gene:plasmid:111385,PLASMID,ACLAME
gene:plasmid:111386,PLASMID,ACLAME
gene:plasmid:111389,PLASMID,ACLAME
gene:plasmid:111390,PLASMID,ACLAME
gene:plasmid:111396,PLASMID,ACLAME
gene:plasmid:111398,PLASMID,ACLAME
gene:plasmid:111400,PLASMID,ACLAME
